time,latitude,longitude,depth,mag
2015-01-29T22:18:40.090Z,39.8145,141.6925,79.3,4.5
2015-01-30T11:31:47.490Z,35.9804,140.2822,35,4.5
2015-01-31T15:42:53.080Z,37.2516,137.1808,33.07,4.6
2015-02-03T05:07:38.980Z,33.5045,132.7343,52.98,4.5
2015-02-05T20:28:43.080Z,38.5955,141.9203,56.97,4.5
2015-02-06T01:25:11.750Z,33.757,134.3989,10.8,4.7
2015-02-08T16:29:51.920Z,35.2098,141.9198,22.96,4.6
2015-02-10T19:23:47.400Z,38.2456,141.8279,47.08,4.6
2015-02-15T00:14:29.980Z,36.6585,141.0179,30,4.7
2015-02-16T23:06:28.270Z,39.8558,142.8808,23,6.7
2015-02-16T23:56:09.830Z,34.6396,141.8336,30.17,4.5
2015-02-17T00:50:02.640Z,39.8563,143.166,10,4.6
2015-02-17T01:15:06.570Z,39.8018,142.7789,35,4.5
2015-02-17T02:29:52.130Z,39.6591,142.981,29.43,4.8
2015-02-17T04:46:38.940Z,40.1095,141.8914,47,5.5
2015-02-20T19:28:27.940Z,41.947,142.6543,60.31,5.3
2015-02-23T08:00:08.040Z,35.4867,140.3003,35,4.6
2015-02-24T02:28:54.090Z,39.6546,143.1982,20,5.8
2015-02-24T02:50:31.840Z,31.155,141.548,36.85,4.5
2015-02-24T10:36:14.700Z,39.0435,142.1477,35,4.6
2015-02-25T03:42:34.100Z,31.8371,140.7755,58.37,4.6
2015-02-25T07:01:00.930Z,31.0659,141.8201,9,5.9
2015-02-26T01:11:23.800Z,38.4821,142.0433,52.04,5
2015-02-26T19:15:48.580Z,35.9201,142.241,31.83,4.6
2015-02-28T08:40:39.970Z,35.6537,140.7317,48.39,4.9
2015-03-01T15:46:17.370Z,31.0161,141.7886,22.93,4.5
2015-03-01T19:21:56.240Z,36.6669,137.5007,242.98,4.7
2015-03-02T08:39:00.320Z,31.4356,140.1723,10,4.6
2015-03-03T15:04:19.990Z,35.3654,136.7511,36.11,4.6
2015-03-05T02:45:53.660Z,33.1181,139.481,171.6,4.7
2015-03-05T17:55:28.430Z,32.6587,138.9075,221.58,4.6
2015-03-05T21:02:08.450Z,32.7501,141.7634,25.54,4.5
2015-03-05T23:06:00.880Z,42.2711,142.5968,63.06,4.9
2015-03-09T01:52:27.570Z,35.117,141.578,30.23,4.6
2015-03-09T02:58:47.930Z,38.9053,142.0541,54.29,4.5
2015-03-12T06:29:20.300Z,31.0111,142.0434,10,4.5
